"No.","Time","Source","Destination","Protocol","Length","Info"
"944","327.087986796","192.168.1.94","142.250.75.110","TLSv1.3","323","Application Data"
"945","327.094726819","142.250.75.110","192.168.1.94","TCP","66","443  >  60366 [ACK] Seq=336392 Ack=177677 Win=208384 Len=0 TSval=2478718855 TSecr=1159107201"
"946","327.161230050","142.250.75.110","192.168.1.94","TLSv1.3","140","Application Data"
"947","327.161230374","142.250.75.110","192.168.1.94","TLSv1.3","97","Application Data"
"948","327.161230403","142.250.75.110","192.168.1.94","TLSv1.3","105","Application Data"
"949","327.163162071","192.168.1.94","142.250.75.110","TCP","66","60366  >  443 [ACK] Seq=177677 Ack=336536 Win=432512 Len=0 TSval=1159107276 TSecr=2478718913"
"950","327.163655359","192.168.1.94","142.250.75.110","TLSv1.3","105","Application Data"
"951","327.170265329","142.250.75.110","192.168.1.94","TCP","66","443  >  60366 [ACK] Seq=336536 Ack=177716 Win=209664 Len=0 TSval=2478718931 TSecr=1159107276"
"952","342.051302246","192.168.1.94","142.250.75.110","TLSv1.3","2576","Application Data"
"953","342.060880330","142.250.75.110","192.168.1.94","TCP","78","[TCP Dup ACK 951#1] 443  >  60366 [ACK] Seq=336536 Ack=177716 Win=209664 Len=0 TSval=2478733821 TSecr=1159107276 SLE=179116 SRE=180226"
"954","342.060880669","142.250.75.110","192.168.1.94","TCP","66","443  >  60366 [ACK] Seq=336536 Ack=180226 Win=207360 Len=0 TSval=2478733821 TSecr=1159122164"
"955","342.133057882","142.250.75.110","192.168.1.94","TLSv1.3","138","Application Data"
"956","342.133058386","142.250.75.110","192.168.1.94","TLSv1.3","97","Application Data"
"957","342.133058440","142.250.75.110","192.168.1.94","TLSv1.3","105","Application Data"
"958","342.133982237","192.168.1.94","142.250.75.110","TCP","66","60366  >  443 [ACK] Seq=180226 Ack=336678 Win=432512 Len=0 TSval=1159122247 TSecr=2478733884"
"959","342.134194000","192.168.1.94","142.250.75.110","TLSv1.3","105","Application Data"
"960","342.141456504","142.250.75.110","192.168.1.94","TCP","66","443  >  60366 [ACK] Seq=336678 Ack=180265 Win=209664 Len=0 TSval=2478733901 TSecr=1159122247"
"961","356.759971611","192.168.1.94","142.250.75.110","TLSv1.3","639","Application Data"
"962","356.760412002","192.168.1.94","142.250.75.110","TLSv1.3","597","Application Data"
"963","356.767796310","142.250.75.110","192.168.1.94","TCP","66","443  >  60366 [ACK] Seq=336678 Ack=180838 Win=209152 Len=0 TSval=2478748527 TSecr=1159136873"
"964","356.767796700","142.250.75.110","192.168.1.94","TCP","66","443  >  60366 [ACK] Seq=336678 Ack=181369 Win=208640 Len=0 TSval=2478748527 TSecr=1159136873"
"965","356.823532461","142.250.75.110","192.168.1.94","TLSv1.3","141","Application Data"
"966","356.823533195","142.250.75.110","192.168.1.94","TLSv1.3","1466","Application Data"
"967","356.823533224","142.250.75.110","192.168.1.94","TLSv1.3","513","Application Data"
"968","356.824098468","192.168.1.94","142.250.75.110","TCP","66","60366  >  443 [ACK] Seq=181369 Ack=338600 Win=430592 Len=0 TSval=1159136937 TSecr=2478748583"
"969","356.827816553","142.250.75.110","192.168.1.94","TLSv1.3","97","Application Data"
"970","356.827816894","142.250.75.110","192.168.1.94","TLSv1.3","105","Application Data"
"971","356.828019789","192.168.1.94","142.250.75.110","TCP","66","60366  >  443 [ACK] Seq=181369 Ack=338670 Win=432512 Len=0 TSval=1159136941 TSecr=2478748587"
"972","356.828211435","192.168.1.94","142.250.75.110","TLSv1.3","105","Application Data"
"973","356.843108574","142.250.75.110","192.168.1.94","TCP","66","443  >  60366 [ACK] Seq=338670 Ack=181408 Win=209664 Len=0 TSval=2478748597 TSecr=1159136941"
"974","357.062128219","192.168.1.94","142.250.75.110","TLSv1.3","1195","Application Data"
"975","357.062620496","192.168.1.94","142.250.75.110","TLSv1.3","323","Application Data"
"976","357.074645273","142.250.75.110","192.168.1.94","TCP","66","443  >  60366 [ACK] Seq=338670 Ack=182537 Win=208640 Len=0 TSval=2478748833 TSecr=1159137175"
"977","357.074645449","142.250.75.110","192.168.1.94","TCP","66","443  >  60366 [ACK] Seq=338670 Ack=182794 Win=208384 Len=0 TSval=2478748833 TSecr=1159137175"
"978","357.137235184","142.250.75.110","192.168.1.94","TLSv1.3","140","Application Data"
"979","357.137235504","142.250.75.110","192.168.1.94","TLSv1.3","97","Application Data"
"980","357.137235522","142.250.75.110","192.168.1.94","TLSv1.3","105","Application Data"
"981","357.137715976","192.168.1.94","142.250.75.110","TCP","66","60366  >  443 [ACK] Seq=182794 Ack=338814 Win=432512 Len=0 TSval=1159137250 TSecr=2478748895"
"982","357.137862434","192.168.1.94","142.250.75.110","TLSv1.3","105","Application Data"
"983","357.146270600","142.250.75.110","192.168.1.94","TCP","66","443  >  60366 [ACK] Seq=338814 Ack=182833 Win=209664 Len=0 TSval=2478748907 TSecr=1159137250"
"984","382.023150415","192.168.1.94","142.250.75.110","TLSv1.3","2555","Application Data"
"985","382.031761405","142.250.75.110","192.168.1.94","TCP","66","443  >  60366 [ACK] Seq=338814 Ack=184233 Win=208384 Len=0 TSval=2478773791 TSecr=1159162136"
