"No.","Time","Source","Destination","Protocol","Length","Info"
"2350","4.669218319","192.168.26.128","192.168.26.2","DNS","76","Standard query 0xd6b2 A pauth.ynet.co.il"
"2351","4.669484579","192.168.26.128","192.168.26.2","DNS","76","Standard query 0x1840 AAAA pauth.ynet.co.il"
"2352","4.669577531","192.168.26.128","192.168.26.2","DNS","76","Standard query 0xeb45 HTTPS pauth.ynet.co.il"
"2367","4.678084356","192.168.26.2","192.168.26.128","DNS","193","Standard query response 0xd6b2 A pauth.ynet.co.il CNAME pauth-ynet.tinypass.com A 104.18.160.126 A 104.18.144.126 A 104.18.223.248 A 104.18.176.126 A 104.18.239.248"
"2368","4.678085054","192.168.26.2","192.168.26.128","DNS","253","Standard query response 0x1840 AAAA pauth.ynet.co.il CNAME pauth-ynet.tinypass.com AAAA 2606:4700::6812:907e AAAA 2606:4700::6812:a07e AAAA 2606:4700::6812:dff8 AAAA 2606:4700::6812:eff8 AAAA 2606:4700::6812:b07e"
"2369","4.678085084","192.168.26.2","192.168.26.128","DNS","246","Standard query response 0xeb45 HTTPS pauth.ynet.co.il CNAME pauth-ynet.tinypass.com HTTPS"
"4969","10.943345589","192.168.26.128","192.168.26.2","DNS","78","Standard query 0xffce AAAA vod-hls.ynethd.com"
"4970","10.943509345","192.168.26.128","192.168.26.2","DNS","78","Standard query 0xd7c9 HTTPS vod-hls.ynethd.com"
"4971","10.943559880","192.168.26.128","192.168.26.2","DNS","78","Standard query 0x2650 A vod-hls.ynethd.com"
"4972","10.949433419","192.168.26.2","192.168.26.128","DNS","194","Standard query response 0xffce AAAA vod-hls.ynethd.com CNAME ynetvod.cdnwiz.net SOA ns-948.awsdns-54.net"
"4973","10.949433682","192.168.26.2","192.168.26.128","DNS","194","Standard query response 0xd7c9 HTTPS vod-hls.ynethd.com CNAME ynetvod.cdnwiz.net SOA ns-948.awsdns-54.net"
"4974","10.949433705","192.168.26.2","192.168.26.128","DNS","126","Standard query response 0x2650 A vod-hls.ynethd.com CNAME ynetvod.cdnwiz.net A 116.202.148.22"
"4975","10.949742401","192.168.26.128","192.168.26.2","DNS","78","Standard query 0x35c8 AAAA ynetvod.cdnwiz.net"
"4976","10.950070859","192.168.26.128","192.168.26.2","DNS","78","Standard query 0x27d1 HTTPS ynetvod.cdnwiz.net"
"4977","10.956099306","192.168.26.2","192.168.26.128","DNS","162","Standard query response 0x27d1 HTTPS ynetvod.cdnwiz.net SOA ns-948.awsdns-54.net"
"4978","10.956099563","192.168.26.2","192.168.26.128","DNS","162","Standard query response 0x35c8 AAAA ynetvod.cdnwiz.net SOA ns-948.awsdns-54.net"
"4993","11.010324157","192.168.26.128","192.168.26.2","DNS","84","Standard query 0x34be HTTPS mediadownload.ynet.co.il"
"4994","11.010498280","192.168.26.128","192.168.26.2","DNS","84","Standard query 0xfda3 A mediadownload.ynet.co.il"
"4995","11.010581169","192.168.26.128","192.168.26.2","DNS","84","Standard query 0xe3dc AAAA mediadownload.ynet.co.il"
"5112","11.077630323","192.168.26.2","192.168.26.128","DNS","187","Standard query response 0xfda3 A mediadownload.ynet.co.il CNAME mediadownload.ynet.co.il.edgekey.net CNAME e12476.b.akamaiedge.net A 212.55.190.45"
"5113","11.080530240","192.168.26.2","192.168.26.128","DNS","246","Standard query response 0xe3dc AAAA mediadownload.ynet.co.il CNAME mediadownload.ynet.co.il.edgekey.net CNAME e12476.b.akamaiedge.net SOA n0b.akamaiedge.net"
"5114","11.080530395","192.168.26.2","192.168.26.128","DNS","246","Standard query response 0x34be HTTPS mediadownload.ynet.co.il CNAME mediadownload.ynet.co.il.edgekey.net CNAME e12476.b.akamaiedge.net SOA n0b.akamaiedge.net"
