filename,file_size,num_sections,num_imported_functions,num_suspicious_imports,num_exported_functions,has_signature,avg_section_entropy,label
fs_usage,188608,10,86,0,1,1,2.694483824827288,0
symbols,460176,25,365,1,1,1,3.0100388606368744,0
unifdef,118848,10,13,0,1,1,2.23610416522408,0
malloc_history,298736,24,219,1,1,1,2.8853583453035774,0
make,118848,10,13,0,1,1,2.23610416522408,0
ranlib,118848,10,13,0,1,1,2.23610416522408,0
zegrep,153824,10,76,0,1,1,2.8160263793393283,0
echo,101184,6,11,0,1,1,3.6073316050447937,0
infotocap,221392,9,109,0,1,1,3.1246159547102,0
assetutil,3696944,39,734,5,1,1,3.161957839074432,0
false,84128,3,0,0,1,1,3.1470514943314023,0
units,135760,9,46,0,1,1,2.9937495529967815,0
bintrans,136480,10,62,1,1,1,3.0258383046614243,0
ctf_insert,118848,10,13,0,1,1,2.23610416522408,0
atq,170832,10,94,1,1,1,3.102731411107966,0
python3,118848,10,13,0,1,1,2.23610416522408,0
opendiff,118912,10,12,0,1,1,2.1561904087499904,0
genstrings,118912,10,12,0,1,1,2.1561904087499904,0
zgrep,153824,10,76,0,1,1,2.8160263793393283,0
cpuctl,101520,6,16,0,1,1,3.7540311647709146,0
logname,101088,6,9,0,1,1,3.074506524058844,0
zip,422368,11,94,1,1,1,3.101448309742847,0
dsimport,224256,21,126,0,1,1,2.7177315080034083,0
bc,350352,10,52,0,1,1,3.2666524793835925,0
xctrace,118912,10,12,0,1,1,2.1561904087499904,0
dwarfdump,118848,10,13,0,1,1,2.23610416522408,0
demandoc,556240,9,71,0,151,1,3.25676458908379,0
perl5.34,101840,7,20,0,2,1,2.6782571262997505,0
realpath,101072,6,8,0,1,1,3.415024895023317,0
last,119424,7,46,0,1,1,3.3459872808300344,0
hiutil,290736,24,124,2,1,1,3.043726024472166,0
ldappasswd,754448,14,248,3,1,1,2.9695560495948463,0
snmpusm,153648,9,59,0,1,1,2.492828895327692,0
pkill,138240,9,76,1,1,1,2.962368205844582,0
gencat,134992,8,29,0,1,1,3.2104660519945547,0
ping6,204272,10,80,3,1,1,2.713686559352036,0
uttype,154800,13,68,0,1,1,3.2741805575509777,0
ResMerger,118848,10,13,0,1,1,2.23610416522408,0
pbcopy,135440,10,27,0,1,1,3.087985161820473,0
jar,135664,11,35,0,1,1,2.967061289411817,0
compress,135296,10,38,2,1,1,2.9128410213329037,0
mklocale,168480,9,42,0,1,1,2.7675805702461935,0
zcat,194992,11,104,2,2,1,3.022152296138384,0
