filename,file_size,num_sections,num_imported_functions,num_suspicious_imports,num_exported_functions,has_signature,avg_section_entropy,label
b64decode,136480,10,62,1,1,1,3.0258383046614243,0
dirname,101184,6,11,0,1,1,3.3257132837750425,0
bsdtar,195760,8,180,1,1,1,3.4114971270002816,0
mknod,118512,9,29,2,1,1,3.181883099113248,0
xcrun,117392,6,3,0,1,1,2.067713152465144,0
rmid,135664,11,35,0,1,1,2.967061289411817,0
quota,135200,9,33,0,1,1,2.733854608050245,0
sdp,118912,10,12,0,1,1,2.1561904087499904,0
dc,350352,10,52,0,1,1,3.2666524793835925,0
usdcrush,873936,9,137,10,91,1,4.121834783378233,0
avbanalyse,567072,20,68,0,1,1,3.6028400089675925,0
AssetCacheTetheratorUtil,172976,20,78,1,1,1,2.9028896361840055,0
avbutil,420640,23,100,1,1,1,3.061126312907981,0
ippeveprinter,293984,12,219,7,1,1,3.2297883318068443,0
yacc,118848,10,13,0,1,1,2.23610416522408,0
pwpolicy,175680,12,141,1,1,1,2.789860445998268,0
kextutil,268640,18,263,8,1,1,2.763913459582687,0
csplit,119072,7,44,0,1,1,3.3888864298452006,0
look,118240,8,22,0,1,1,2.968191612727039,0
llvm-g++,118848,10,13,0,1,1,2.23610416522408,0
mail,270880,11,115,2,1,1,2.88683135873463,0
uname,101504,8,17,0,1,1,3.0496159459046286,0
mount_lifs,135392,8,34,0,1,1,3.1758123334735533,0
xar,137888,9,81,0,1,1,2.667458851007089,0
diff,237312,11,105,0,1,1,2.754298781003389,0
nfsstat,204064,13,70,0,1,1,2.777206876747513,0
b64encode,136480,10,62,1,1,1,3.0258383046614243,0
apfs_unlockfv,154672,13,53,3,1,1,2.487708087877915,0
afida,220096,10,68,1,5,1,3.5948185704202595,0
tabs,101456,7,17,0,1,1,3.2857189452202245,0
ipptool,223920,11,146,3,1,1,2.7377337780242113,0
db_recover,2059104,11,132,6,1,1,3.3214915856422396,0
tab2space,118016,8,17,0,1,1,2.3427624073321436,0
afplay,173664,13,94,4,3,1,3.399242368567476,0
dmc,136752,8,44,1,1,1,3.1984979960474518,0
indent,118848,10,13,0,1,1,2.23610416522408,0
zipcloak,239008,10,67,1,1,1,3.08915749576556,0
uncompress,135296,10,38,2,1,1,2.9128410213329037,0
vtool,118848,10,13,0,1,1,2.23610416522408,0
db_stat,2058976,11,130,6,1,1,3.3220173454504813,0
kpasswd,174912,8,62,0,7,1,3.015709158911972,0
segedit,118848,10,13,0,1,1,2.23610416522408,0
fping,169728,10,62,2,1,1,2.7973568576004046,0
rs,134448,8,18,0,1,1,2.8995817709363254,0
xattr,118944,11,40,1,1,1,2.577514377934964,0
aa,329792,12,209,1,1,1,3.0389615529349965,0
crlrefresh,137440,12,58,0,1,1,3.1846304224809483,0
sha256sum,136576,10,62,0,1,1,3.059982441901543,0
rmic,135664,11,35,0,1,1,2.967061289411817,0
arch,121216,10,72,1,1,1,3.027022372713803,0
ar,118848,10,13,0,1,1,2.23610416522408,0
mdfind,137056,17,51,0,1,1,2.551589935850885,0
mktemp,101744,7,23,0,1,1,3.24406505173446,0
mdls,136416,11,39,0,1,1,2.960334627357993,0
textutil,173104,16,87,0,1,1,2.717478506809168,0
truncate,101392,9,17,1,1,1,2.8403895763241795,0
jinfo,135664,11,35,0,1,1,2.967061289411817,0
db_checkpoint,2059056,11,132,6,1,1,3.319603368839324,0
cksum,118208,10,22,1,1,1,2.968670466973105,0
java,135664,11,35,0,1,1,2.967061289411817,0
mv,119344,10,50,2,1,1,2.7163012161570514,0
jjs,135664,11,35,0,1,1,2.967061289411817,0
app-sso,173584,18,74,0,1,1,2.7996496503392043,0
view,5469856,15,251,5,1,1,3.3062722102982267,0
lex,118848,10,13,0,1,1,2.23610416522408,0
sum,118208,10,22,1,1,1,2.968670466973105,0
sha1sum,136576,10,62,0,1,1,3.059982441901543,0
launchctl,362736,17,222,3,1,1,2.3323198084460124,0
mig,118848,10,13,0,1,1,2.23610416522408,0
usbdiagnose,550320,21,79,1,1,1,3.1645118182603627,0
lockf,118672,8,33,1,1,1,2.932692719562768,0
kextload,213040,17,178,6,1,1,2.72205619160241,0
talk,138144,10,90,4,1,1,2.823387685162297,0
snmpvacm,151696,8,29,0,1,1,2.912344177244954,0
rpcgen,118848,10,13,0,1,1,2.23610416522408,0
fsck_fskit,137696,12,46,0,1,1,3.3074751652315797,0
more,368496,10,85,3,1,1,3.264383256727977,0
sha224sum,136576,10,62,0,1,1,3.059982441901543,0
layerutil,2069808,39,716,5,1,1,3.074942521381206,0
pwd,101296,6,14,0,1,1,3.470391192306072,0
xsltproc,137664,8,67,0,1,1,2.53332705590676,0
avconvert,170528,19,58,0,1,1,2.810710165818186,0
curl,552640,11,142,54,1,1,3.5251540547482523,0
tic,221392,9,109,0,1,1,3.1246159547102,0
csfdiagnose,455392,23,328,3,1,1,3.0526885320779975,0
calendar,203568,9,88,0,1,1,3.177044653665465,0
tmutil,743856,40,546,12,1,1,3.131866931954175,0
sha256,136576,10,62,0,1,1,3.059982441901543,0
IOAccelMemory,240208,15,84,0,1,1,2.723309022550587,0
cancel,118976,8,35,2,1,1,2.6373621194100156,0
pathchk,101440,10,18,1,1,1,2.632158832567162,0
date,135296,9,35,0,1,1,3.029118962499744,0
sha224,136576,10,62,0,1,1,3.059982441901543,0
pfctl,484640,11,103,1,1,1,3.203515523766834,0
tar,195760,8,180,1,1,1,3.4114971270002816,0
snmpbulkget,118928,7,28,0,1,1,2.674881157992855,0
ldapcompare,754592,14,249,3,1,1,2.9701705402116434,0
m4,118848,10,13,0,1,1,2.23610416522408,0
fstyp_ntfs,101536,8,17,0,1,1,2.3997537375053235,0
atos,229200,23,171,1,1,1,2.8062730274099015,0
xmlcatalog,119488,6,44,1,1,1,2.9410965093105905,0
fstyp_hfs,101440,8,16,0,1,1,2.746276760010394,0
ping,170624,11,67,3,1,1,2.593531078065533,0
psm,240224,12,118,1,1,1,2.787823995626564,0
kmutil,5344800,36,1431,13,1,1,3.600437044089359,0
hdxml2manxml,118848,10,13,0,1,1,2.23610416522408,0
flex,118848,10,13,0,1,1,2.23610416522408,0
gzip,171744,11,102,2,1,1,3.022152296138384,0
showmount,136560,7,49,3,1,1,2.843686616033094,0
kill,101584,6,19,1,1,1,3.7475385505868393,0
footprint,564080,30,247,0,1,1,2.9925467287447685,0
fgrep,153824,10,76,0,1,1,2.8160263793393283,0
uulog,206032,10,74,2,1,1,2.857248993974327,0
size,118848,10,13,0,1,1,2.23610416522408,0
xcdebug,118912,10,12,0,1,1,2.1561904087499904,0
ls,154624,12,91,2,1,1,2.7196789741867455,0
dist_package_tool,1646560,35,860,4,1,1,3.287243965694654,0
leave,101312,6,14,0,1,1,3.6175660094080033,0
awk,318912,10,85,1,1,1,3.0638679814914664,0
rview,5469856,15,251,5,1,1,3.3062722102982267,0
nl,135216,8,35,0,1,1,2.904860462247215,0
ctags,118848,10,13,0,1,1,2.23610416522408,0
unlink,119216,10,45,1,1,1,2.8186088061087076,0
afconvert,361648,17,183,3,15,1,3.2407827723164,0
mount_nfs,204288,11,89,0,1,1,2.4237919100648666,0
fdesetup,853664,27,367,10,1,1,3.0983431261119962,0
mkdir,101472,10,19,2,1,1,2.5722405337562053,0
readlink,118768,10,36,1,1,1,2.7020758973055616,0
ldapadd,787728,14,250,3,1,1,2.9644394387565396,0
cu,326352,11,137,8,1,1,3.049288634164002,0
cpp,118848,10,13,0,1,1,2.23610416522408,0
heap,312464,25,188,1,1,1,3.0664968452010686,0
c++filt,118848,10,13,0,1,1,2.23610416522408,0
sandbox-exec,102560,5,34,0,1,1,3.485186204667701,0
zfgrep,153824,10,76,0,1,1,2.8160263793393283,0
nsupdate,3928352,11,206,6,1,1,3.4073968118440026,0
localedef,203440,11,76,1,1,1,3.1006083855611823,0
derq,137456,13,64,0,1,1,2.388268861272596,0
taskinfo,190160,9,97,0,1,1,3.2356615480182165,0
jdeps,135664,11,35,0,1,1,2.967061289411817,0
du,135408,11,40,1,1,1,2.5883283443796965,0
usdcat,992096,9,163,2,110,1,4.137979520790291,0
wc,102240,7,30,0,1,1,3.228581785545452,0
printenv,101088,6,9,0,1,1,3.2974440288532385,0
lastcomm,118400,8,25,0,1,1,2.842577582690829,0
stty,135504,9,40,0,1,1,2.89501662672121,0
bioutil,325472,21,69,3,1,1,2.6756165986021565,0
ibtool,118912,10,12,0,1,1,2.1561904087499904,0
touch,101792,9,26,1,1,1,2.9541176739518398,0
mandoc,1087728,9,145,1,281,1,3.65947956398546,0
snmptrap,135792,7,36,0,1,1,2.668991364323617,0
xcscontrol,118912,10,12,0,1,1,2.1561904087499904,0
macbinary,169968,8,60,0,1,1,3.4602179389739818,0
nslookup,3962656,11,204,6,1,1,3.394333847840402,0
ssh-add,630544,15,252,5,1,1,3.1428252706025286,0
finger,137312,9,79,2,1,1,3.064925349928406,0
usdrecord,1242512,10,179,2,166,1,3.7454273963672917,0
plutil,276832,23,101,0,1,1,3.114370643356636,0
xcsdiagnose,118912,10,12,0,1,1,2.1561904087499904,0
dscl,441152,25,156,0,1,1,2.9657085187646173,0
AssetCacheLocatorUtil,171888,21,74,1,1,1,2.7677520746988677,0
split,134816,8,27,0,1,1,2.9929760923548328,0
CalculatorWidget,180640,22,219,9,2,1,2.709425490628203,0
Calculator,2916144,33,1876,49,1,1,3.490659814352276,0
