"No.","Time","Source","Destination","Protocol","Length","Info"
"24","0.652385941","159.124.21.96","192.168.1.93","TLSv1.3","107","Application Data"
"25","0.652512647","192.168.1.93","159.124.21.96","TCP","66","45230  >  443 [ACK] Seq=5390 Ack=5928 Win=81536 Len=0 TSval=1495221590 TSecr=4109507513"
"26","1.352307859","192.168.1.93","159.124.21.96","TLSv1.3","713","Application Data"
"27","1.352760497","192.168.1.93","159.124.21.96","TLSv1.3","713","Application Data"
"28","1.429566632","159.124.21.96","192.168.1.93","TCP","66","443  >  45230 [ACK] Seq=5928 Ack=6684 Win=64128 Len=0 TSval=4109508299 TSecr=1495222289"
"29","1.429566972","159.124.21.96","192.168.1.93","TLSv1.3","807","Application Data"
"30","1.429636657","192.168.1.93","159.124.21.96","TCP","66","45230  >  443 [ACK] Seq=6684 Ack=6669 Win=84480 Len=0 TSval=1495222367 TSecr=4109508299"
"31","1.451885388","159.124.21.96","192.168.1.93","TLSv1.3","808","Application Data"
"32","1.451907778","192.168.1.93","159.124.21.96","TCP","66","45230  >  443 [ACK] Seq=6684 Ack=7411 Win=87296 Len=0 TSval=1495222389 TSecr=4109508319"
"33","1.465770533","192.168.1.93","159.124.21.96","STUN","198","Binding Request user: 4D4E1327-1ADF-8C9D-33B1-B59FB236C0B7:4541BB66-D689-8DE7-07EF-2C88144219B5"
"34","1.541915553","159.124.21.96","192.168.1.93","STUN","106","Binding Success Response XOR-MAPPED-ADDRESS: 5.29.51.201:8466"
"35","1.543359929","192.168.1.93","159.124.21.96","STUN","198","Binding Request user: 4D4E1327-1ADF-8C9D-33B1-B59FB236C0B7:4541BB66-D689-8DE7-07EF-2C88144219B5"
"36","1.543942677","192.168.1.93","159.124.21.96","DTLSv1.2","231","Client Hello"
"37","1.582269058","192.168.1.93","159.124.21.96","STUN","198","Binding Request user: 6F4AA7FD-78DF-FCC4-F05B-958B6A09AE9D:4541BB66-D689-8DE7-07EF-2C88144219B5"
"38","1.601655268","192.168.1.93","159.124.21.96","DTLSv1.2","231","Client Hello"
"39","1.614033586","159.124.21.96","192.168.1.93","STUN","106","Binding Success Response XOR-MAPPED-ADDRESS: 5.29.51.201:8466"
"40","1.614033830","159.124.21.96","192.168.1.93","DTLSv1.2","1094","Server Hello, Certificate (Fragment)"
"41","1.614033873","159.124.21.96","192.168.1.93","DTLSv1.2","1094","Certificate (Fragment)"
"42","1.614033925","159.124.21.96","192.168.1.93","DTLSv1.2","1094","Certificate (Fragment)"
"43","1.617040530","159.124.21.96","192.168.1.93","DTLSv1.2","1094","Certificate (Reassembled), Server Key Exchange (Fragment)"
"44","1.617040793","159.124.21.96","192.168.1.93","DTLSv1.2","492","Server Key Exchange (Reassembled), Certificate Request, Server Hello Done"
"45","1.623399872","192.168.1.93","159.124.21.96","DTLSv1.2","659","Certificate, Client Key Exchange, Certificate Verify, Change Cipher Spec, Encrypted Handshake Message"
"46","1.653749255","159.124.21.96","192.168.1.93","STUN","106","Binding Success Response XOR-MAPPED-ADDRESS: 5.29.51.201:8466"
"47","1.655296626","192.168.1.93","159.124.21.96","STUN","198","Binding Request user: 6F4AA7FD-78DF-FCC4-F05B-958B6A09AE9D:4541BB66-D689-8DE7-07EF-2C88144219B5"
"48","1.671657616","192.168.1.93","159.124.21.96","DTLSv1.2","231","Client Hello"
"49","1.673499660","159.124.21.96","192.168.1.93","DTLSv1.2","156","Server Hello"
"50","1.673499915","159.124.21.96","192.168.1.93","DTLSv1.2","1094","Certificate (Fragment)"
"51","1.673499950","159.124.21.96","192.168.1.93","DTLSv1.2","1094","Certificate (Fragment)"
